_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
36,14,11,360.0,370.0,365.0,0.7857142857142857,0.5241027622679172,0.9242875166308363
37,9,6,370.0,380.0,375.0,0.6666666666666666,0.3541973474990897,0.8794184013172571
38,8,5,380.0,390.0,385.0,0.625,0.30573785458380187,0.863158240538479
39,11,7,390.0,400.0,395.0,0.6363636363636364,0.3537967768916373,0.8483377638586862
40,9,4,400.0,410.0,405.0,0.4444444444444444,0.188775429471914,0.7333526542559703
41,12,5,410.0,420.0,415.0,0.4166666666666667,0.1932574619052465,0.6804926643446272
42,5,3,420.0,430.0,425.0,0.6,0.23071993220883708,0.8823817688407467
43,5,3,430.0,440.0,435.0,0.6,0.23071993220883708,0.8823817688407467
44,8,4,440.0,450.0,445.0,0.5,0.21521252682444186,0.7847874731755582
45,5,4,450.0,460.0,455.0,0.8,0.3755282641185388,0.9637768390302125
46,9,5,460.0,470.0,465.0,0.5555555555555556,0.2666473457440297,0.811224570528086
47,8,6,470.0,480.0,475.0,0.75,0.40926987910258916,0.9285223111419724
48,6,4,480.0,490.0,485.0,0.6666666666666666,0.29998832134152864,0.9032306674407831
49,5,1,490.0,500.0,495.0,0.2,0.03622316096978745,0.6244717358814613
50,5,3,500.0,510.0,505.0,0.6,0.23071993220883708,0.8823817688407467
51,6,3,510.0,520.0,515.0,0.5,0.18761280689940874,0.8123871931005913
52,2,0,520.0,530.0,525.0,0.0,0.0,0.6576280471103807
53,5,0,530.0,540.0,535.0,0.0,0.0,0.43449149475208104
54,2,2,540.0,550.0,545.0,1.0,0.34237195288961925,1.0
55,1,1,550.0,560.0,555.0,1.0,0.2065432914738929,1.0
56,3,2,560.0,570.0,565.0,0.6666666666666666,0.20765495512648796,0.9385096847238394
58,4,3,580.0,590.0,585.0,0.75,0.3006360524426366,0.9544139373553637
59,1,0,590.0,600.0,595.0,0.0,0.0,0.7934567085261071
60,4,2,600.0,610.0,605.0,0.5,0.15003570882017148,0.8499642911798285
61,1,1,610.0,620.0,615.0,1.0,0.2065432914738929,1.0
63,1,0,630.0,640.0,635.0,0.0,0.0,0.7934567085261071
64,6,2,640.0,650.0,645.0,0.3333333333333333,0.09676933255921683,0.7000116786584712
65,4,0,650.0,660.0,655.0,0.0,0.0,0.48990002040399916
66,1,0,660.0,670.0,665.0,0.0,0.0,0.7934567085261071
68,1,1,680.0,690.0,685.0,1.0,0.2065432914738929,1.0
69,1,0,690.0,700.0,695.0,0.0,0.0,0.7934567085261071
