TRIAL_INDEX,participant_id,critical,distractor,outside,answer_A,answer_B,answer_C,answer_D,question,loc_answer_A,loc_answer_B,loc_answer_C,loc_answer_D,loc_question,selected_answer_label,selected_answer_position,dwell_selected,screenloc_selected
13,l56_159,400.14285714285717,778.52,254.08641975308643,121.88888888888889,93.77777777777777,63.25,170.0,0.0,answer_3,answer_1,answer_2,answer_0,question,A,3,121.88888888888889,answer_3
13,l56_438,226.35135135135135,65.15384615384616,105.34246575342466,170.25,122.83333333333333,49.625,61.5,0.0,answer_1,answer_0,answer_2,answer_3,question,A,1,170.25,answer_1
13,l57_2095,418.258064516129,305.625,552.6833333333333,127.8,133.41666666666666,110.1,51.54545454545455,11.818181818181818,answer_2,answer_0,answer_1,answer_3,question,A,2,127.8,answer_2
13,l57_463,164.53571428571428,119.16666666666667,151.50925925925927,217.66666666666666,137.33333333333334,92.54545454545455,97.71428571428571,16.22222222222222,answer_1,answer_2,answer_3,answer_0,question,A,1,217.66666666666666,answer_1
13,l58_177,165.08,311.0869565217391,331.5,181.8,242.0,114.8,87.83333333333333,6.857142857142857,answer_3,answer_1,answer_0,answer_2,question,A,3,181.8,answer_3
13,l58_466,150.80851063829786,395.8076923076923,121.70930232558139,391.5,43.77777777777778,97.2,75.0,22.0,answer_1,answer_0,answer_3,answer_2,question,A,1,391.5,answer_1
13,l59_293,347.75,193.28571428571428,147.52173913043478,423.0,278.5625,168.91666666666666,362.14285714285717,11.214285714285714,answer_0,answer_2,answer_1,answer_3,question,A,0,423.0,answer_0
13,l59_485,64.56410256410257,115.9090909090909,222.39655172413794,58.8,865.6666666666666,73.66666666666667,558.0,239.22222222222223,answer_3,answer_0,answer_1,answer_2,question,D,2,558.0,answer_2
13,l59_546,304.4,563.0833333333334,230.13636363636363,403.8,140.14285714285714,76.0,120.66666666666667,0.0,answer_2,answer_0,answer_1,answer_3,question,A,2,403.8,answer_2
13,l5_179,109.05555555555556,132.56521739130434,127.29508196721312,459.57142857142856,113.0,83.75,192.0,0.0,answer_3,answer_2,answer_1,answer_0,question,A,3,459.57142857142856,answer_3
13,l5_332,186.34375,137.64,146.31428571428572,194.66666666666666,167.33333333333334,122.875,82.0,9.857142857142858,answer_1,answer_2,answer_3,answer_0,question,A,1,194.66666666666666,answer_1
13,l5_82,59.53846153846154,273.2,81.72164948453609,139.875,142.6153846153846,240.0,95.42857142857143,24.875,answer_1,answer_3,answer_0,answer_2,question,A,1,139.875,answer_1
13,l60_190,379.2962962962963,208.875,406.3225806451613,677.0,773.7142857142857,786.6666666666666,1704.5,180.375,answer_1,answer_2,answer_0,answer_3,question,A,1,677.0,answer_1
13,l60_492,147.1,339.8181818181818,172.69230769230768,68.0,46.2,75.66666666666667,65.125,0.0,answer_0,answer_1,answer_2,answer_3,question,A,0,68.0,answer_0
13,l60_518,174.625,242.75,210.16,101.25,237.375,112.6,90.55555555555556,0.0,answer_1,answer_0,answer_3,answer_2,question,B,0,237.375,answer_0
13,l6_329,503.30232558139534,820.6666666666666,495.375,320.14285714285717,100.71428571428571,132.4,204.14285714285714,0.0,answer_2,answer_3,answer_1,answer_0,question,A,2,320.14285714285717,answer_2
13,l6_83,158.42857142857142,103.0,151.25,329.875,108.42857142857143,239.33333333333334,162.83333333333334,0.0,answer_2,answer_1,answer_3,answer_0,question,A,2,329.875,answer_2
13,l7_199,199.15,300.6363636363636,213.3673469387755,552.3333333333334,56.44444444444444,81.75,140.6,0.0,answer_0,answer_3,answer_2,answer_1,question,A,0,552.3333333333334,answer_0
13,l7_267,107.75757575757575,114.66666666666667,81.73214285714286,99.625,66.71428571428571,52.6,78.88888888888889,0.25,answer_0,answer_3,answer_1,answer_2,question,A,0,99.625,answer_0
13,l7_336,1964.0,183.0,142.096,158.58333333333334,80.91666666666667,57.666666666666664,63.0,34.75,answer_0,answer_1,answer_3,answer_2,question,B,1,80.91666666666667,answer_1
13,l8_200,270.0,442.8,399.09589041095893,81.0,295.3333333333333,68.875,23.5,0.0,answer_3,answer_2,answer_0,answer_1,question,B,2,295.3333333333333,answer_2
13,l8_268,167.14285714285714,124.44,166.0,192.44444444444446,142.33333333333334,201.625,320.5,0.0,answer_0,answer_1,answer_3,answer_2,question,A,0,192.44444444444446,answer_0
13,l8_339,443.5,93.83333333333333,132.0888888888889,149.91666666666666,50.0,143.88888888888889,30.25,0.0,answer_2,answer_1,answer_3,answer_0,question,A,2,149.91666666666666,answer_2
13,l9_201,160.05263157894737,112.33333333333333,182.14666666666668,388.0,333.5,543.6666666666666,213.5,80.18181818181819,answer_0,answer_3,answer_1,answer_2,question,A,0,388.0,answer_0
13,l9_340,126.25490196078431,29.75,72.56060606060606,343.5,0.0,102.5,132.5,0.0,answer_0,answer_2,answer_1,answer_3,question,A,0,343.5,answer_0
13,l9_491,115.83333333333333,370.8205128205128,44.2,95.4,151.75,90.0,82.83333333333333,0.0,answer_2,answer_0,answer_1,answer_3,question,A,2,95.4,answer_2
14,L41_408,97.81481481481481,87.70588235294117,71.38095238095238,123.55555555555556,67.42857142857143,79.42857142857143,82.85714285714286,118.16666666666667,answer_2,answer_1,answer_3,answer_0,question,A,2,123.55555555555556,answer_2
14,L56_481,165.96428571428572,78.46666666666667,310.6826923076923,136.83333333333334,172.33333333333334,99.16666666666667,97.25,16.88888888888889,answer_2,answer_0,answer_3,answer_1,question,A,2,136.83333333333334,answer_2
14,l10_269,126.34375,152.75757575757575,240.98275862068965,156.28571428571428,170.375,85.82352941176471,72.16666666666667,0.0,answer_2,answer_0,answer_3,answer_1,question,A,2,156.28571428571428,answer_2
14,l10_341,169.05405405405406,154.9,78.90322580645162,662.0,683.0,139.5,430.0,0.0,answer_0,answer_3,answer_1,answer_2,question,B,3,683.0,answer_3
14,l11_205,165.0,171.2,246.0744680851064,228.25,72.0,86.9,70.0,8.277777777777779,answer_2,answer_3,answer_1,answer_0,question,A,2,228.25,answer_2
14,l11_344,80.89285714285714,109.74358974358974,155.14666666666668,175.83333333333334,42.6,27.8,48.833333333333336,0.0,answer_2,answer_0,answer_3,answer_1,question,A,2,175.83333333333334,answer_2
14,l11_91,196.23076923076923,168.0,192.14864864864865,283.6,385.5,219.86666666666667,147.3,0.0,answer_0,answer_3,answer_1,answer_2,question,A,0,283.6,answer_0
14,l12_207,301.3636363636364,429.0,264.3833333333333,349.5,157.88888888888889,154.22222222222223,431.57142857142856,184.72727272727272,answer_0,answer_3,answer_1,answer_2,question,D,2,431.57142857142856,answer_2
14,l12_92,233.0,229.66666666666666,223.54,147.875,85.28571428571429,310.5,135.16666666666666,19.375,answer_1,answer_3,answer_0,answer_2,question,A,1,147.875,answer_1
14,l13_213,186.0,154.4,219.06849315068493,450.5,172.5,159.66666666666666,185.0,7.75,answer_3,answer_0,answer_1,answer_2,question,A,3,450.5,answer_3
14,l13_348,332.3030303030303,316.5,266.5735294117647,133.0,135.33333333333334,137.0,128.16666666666666,0.0,answer_1,answer_0,answer_3,answer_2,question,B,0,135.33333333333334,answer_0
14,l13_93,171.38095238095238,247.71428571428572,182.61363636363637,162.33333333333334,102.6,138.2,151.88888888888889,28.5,answer_0,answer_3,answer_2,answer_1,question,A,0,162.33333333333334,answer_0
14,l14_352,330.7857142857143,271.3125,160.94642857142858,279.0,589.0,142.0,98.28571428571429,0.0,answer_0,answer_2,answer_3,answer_1,question,A,0,279.0,answer_0
14,l14_527,364.075,340.625,267.7567567567568,229.72727272727272,208.25,221.83333333333334,207.25,101.57142857142857,answer_2,answer_1,answer_3,answer_0,question,A,2,229.72727272727272,answer_2
14,l14_94,170.6060606060606,86.38461538461539,152.9322033898305,183.875,292.85714285714283,336.5,66.7,62.0625,answer_1,answer_3,answer_2,answer_0,question,B,3,292.85714285714283,answer_3
14,l15_350,273.9,359.93333333333334,321.680412371134,292.375,233.2,217.57142857142858,154.0,0.0,answer_2,answer_3,answer_0,answer_1,question,A,2,292.375,answer_2
14,l15_95,133.66666666666666,134.64705882352942,144.0681818181818,190.375,253.125,188.9,72.6,36.2,answer_2,answer_0,answer_1,answer_3,question,B,0,253.125,answer_0
14,l16_354,160.98181818181817,281.0,149.1578947368421,188.3,346.3333333333333,150.9090909090909,167.91666666666666,104.875,answer_2,answer_3,answer_1,answer_0,question,B,3,346.3333333333333,answer_3
14,l16_96,249.2,190.56666666666666,203.4102564102564,315.6666666666667,74.70588235294117,214.86666666666667,127.75,0.0,answer_2,answer_3,answer_0,answer_1,question,A,2,315.6666666666667,answer_2
14,l17_219,283.4,244.8,455.0851063829787,891.0,313.77777777777777,828.7142857142857,468.5,462.125,answer_1,answer_0,answer_2,answer_3,question,A,1,891.0,answer_1
14,l17_356,185.9787234042553,89.33333333333333,167.66304347826087,427.0,191.66666666666666,253.66666666666666,391.3333333333333,21.75,answer_2,answer_1,answer_3,answer_0,question,D,0,391.3333333333333,answer_0
14,l17_98,192.20833333333334,265.27272727272725,382.54615384615386,124.5,186.7,296.5882352941176,217.2,119.35714285714286,answer_0,answer_2,answer_1,answer_3,question,C,1,296.5882352941176,answer_1
14,l18_220,277.6,107.375,188.38888888888889,921.0,630.0,0.0,478.3333333333333,56.0,answer_3,answer_1,answer_0,answer_2,question,A,3,921.0,answer_3
14,l18_449,126.46875,86.66666666666667,225.04054054054055,196.45454545454547,91.4,74.11111111111111,175.5,18.2,answer_1,answer_2,answer_3,answer_0,question,A,1,196.45454545454547,answer_1
