participant_id,p1,p2,gap
l43_302,0.5185185185185185,0.09259259259259259,0.42592592592592593
l43_411,0.48148148148148145,0.12962962962962962,0.35185185185185186
l44_305,0.6296296296296297,0.12962962962962962,0.5
l44_412,0.4444444444444444,0.1111111111111111,0.3333333333333333
l44_540,0.7037037037037037,0.05555555555555555,0.6481481481481481
l45_139,0.37037037037037035,0.25925925925925924,0.1111111111111111
l45_306,0.35185185185185186,0.2037037037037037,0.14814814814814817
l45_452,0.5185185185185185,0.18518518518518517,0.3333333333333333
l46_141,0.3888888888888889,0.18518518518518517,0.20370370370370372
l46_311,0.35185185185185186,0.24074074074074073,0.11111111111111113
l46_453,0.5740740740740741,0.09259259259259259,0.4814814814814815
l47_144,0.2962962962962963,0.16666666666666666,0.12962962962962962
l47_313,0.2037037037037037,0.1111111111111111,0.09259259259259259
l47_457,0.4444444444444444,0.2777777777777778,0.16666666666666663
l48_153,0.4074074074074074,0.07407407407407407,0.3333333333333333
l48_315,0.46296296296296297,0.12962962962962962,0.33333333333333337
l48_422,0.7962962962962963,0.05555555555555555,0.7407407407407407
l49_154,0.2777777777777778,0.18518518518518517,0.09259259259259262
l49_510,0.6851851851851852,0.07407407407407407,0.6111111111111112
l49_529,0.5925925925925926,0.24074074074074073,0.35185185185185186
l4_169,0.7222222222222222,0.05555555555555555,0.6666666666666666
l4_326,0.24074074074074073,0.1111111111111111,0.12962962962962962
l4_68,0.5740740740740741,0.07407407407407407,0.5
l50_156,0.3888888888888889,0.3333333333333333,0.05555555555555558
l50_460,0.8333333333333334,0.05555555555555555,0.7777777777777778
l50_474,0.3148148148148148,0.24074074074074073,0.0740740740740741
l51_158,0.6296296296296297,0.09259259259259259,0.5370370370370371
l51_427,0.35185185185185186,0.14814814814814814,0.20370370370370372
l51_497,0.6851851851851852,0.05555555555555555,0.6296296296296297
l52_164,0.6666666666666666,0.09259259259259259,0.5740740740740741
l52_2023,0.25925925925925924,0.24074074074074073,0.018518518518518517
l52_428,0.42592592592592593,0.14814814814814814,0.2777777777777778
l53_166,0.5925925925925926,0.12962962962962962,0.4629629629629629
l53_431,0.5185185185185185,0.1111111111111111,0.4074074074074074
l53_498,0.5370370370370371,0.25925925925925924,0.27777777777777785
l54_171,0.5370370370370371,0.09259259259259259,0.44444444444444453
l54_461,0.35185185185185186,0.3148148148148148,0.037037037037037035
l54_499,0.48148148148148145,0.05555555555555555,0.42592592592592593
l55_180,0.6666666666666666,0.05555555555555555,0.611111111111111
l55_435,0.46296296296296297,0.25925925925925924,0.20370370370370372
l55_500,0.7407407407407407,0.09259259259259259,0.6481481481481481
l56_487,0.16666666666666666,0.1111111111111111,0.05555555555555555
l56_489,0.4528301886792453,0.32075471698113206,0.13207547169811323
l56_522,0.37037037037037035,0.2037037037037037,0.16666666666666666
l57_288,0.3888888888888889,0.2037037037037037,0.1851851851851852
l57_439,0.6111111111111112,0.09259259259259259,0.5185185185185186
l57_501,0.2777777777777778,0.18518518518518517,0.09259259259259262
l58_189,0.3333333333333333,0.2777777777777778,0.055555555555555525
l58_441,0.2777777777777778,0.18518518518518517,0.09259259259259262
l58_503,0.7037037037037037,0.05555555555555555,0.6481481481481481
l59_191,0.7222222222222222,0.05555555555555555,0.6666666666666666
l59_504,0.3333333333333333,0.18518518518518517,0.14814814814814814
l59_547,0.37037037037037035,0.14814814814814814,0.2222222222222222
l5_175,0.4074074074074074,0.12962962962962962,0.2777777777777778
l5_328,0.24074074074074073,0.12962962962962962,0.1111111111111111
l5_69,0.37037037037037035,0.18518518518518517,0.18518518518518517
l60_198,0.5,0.18518518518518517,0.3148148148148148
l60_446,0.6851851851851852,0.1111111111111111,0.5740740740740742
l60_505,0.35185185185185186,0.2777777777777778,0.07407407407407407
l6_176,0.3333333333333333,0.09259259259259259,0.24074074074074073
l6_330,0.3888888888888889,0.14814814814814814,0.24074074074074076
l6_70,0.5555555555555556,0.09259259259259259,0.462962962962963
l7_183,0.5185185185185185,0.2777777777777778,0.2407407407407407
l7_333,0.5925925925925926,0.07407407407407407,0.5185185185185185
l7_71,0.5555555555555556,0.18518518518518517,0.3703703703703704
l8_185,0.2777777777777778,0.24074074074074073,0.03703703703703706
l8_335,0.5555555555555556,0.07407407407407407,0.4814814814814815
l8_76,0.25925925925925924,0.16666666666666666,0.09259259259259259
l9_195,0.5185185185185185,0.25925925925925924,0.25925925925925924
l9_38,0.8888888888888888,0.037037037037037035,0.8518518518518519
l9_536,0.7777777777777778,0.037037037037037035,0.7407407407407407
